id,name,group,material,x_mm,y_mm,z_mm,width_mm,depth_mm,height_mm,status
P001,Leg 11 foot,Legs,WALNUT,20,20,0,30,40,22,"CONCEPT exterior, not cut list"
P002,Leg 11 walnut cheek,Legs,WALNUT,20,20,22,8,40,554,"CONCEPT exterior, not cut list"
P003,Leg 11 walnut cheek,Legs,WALNUT,42,20,22,8,40,554,"CONCEPT exterior, not cut list"
P004,Leg 11 maple core,Legs,MAPLE,28,20,22,14,40,40,"CONCEPT exterior, not cut list"
P005,Leg 11 maple core,Legs,MAPLE,28,20,74,14,40,102,"CONCEPT exterior, not cut list"
P006,Leg 11 maple core,Legs,MAPLE,28,20,188,14,40,24,"CONCEPT exterior, not cut list"
P007,Leg 11 maple core,Legs,MAPLE,28,20,224,14,40,162,"CONCEPT exterior, not cut list"
P008,Leg 11 maple core,Legs,MAPLE,28,20,398,14,40,24,"CONCEPT exterior, not cut list"
P009,Leg 11 maple core,Legs,MAPLE,28,20,434,14,40,142,"CONCEPT exterior, not cut list"
P010,Leg 12 foot,Legs,WALNUT,20,420,0,30,40,22,"CONCEPT exterior, not cut list"
P011,Leg 12 walnut cheek,Legs,WALNUT,20,420,22,8,40,554,"CONCEPT exterior, not cut list"
P012,Leg 12 walnut cheek,Legs,WALNUT,42,420,22,8,40,554,"CONCEPT exterior, not cut list"
P013,Leg 12 maple core,Legs,MAPLE,28,420,22,14,40,40,"CONCEPT exterior, not cut list"
P014,Leg 12 maple core,Legs,MAPLE,28,420,74,14,40,102,"CONCEPT exterior, not cut list"
P015,Leg 12 maple core,Legs,MAPLE,28,420,188,14,40,24,"CONCEPT exterior, not cut list"
P016,Leg 12 maple core,Legs,MAPLE,28,420,224,14,40,162,"CONCEPT exterior, not cut list"
P017,Leg 12 maple core,Legs,MAPLE,28,420,398,14,40,24,"CONCEPT exterior, not cut list"
P018,Leg 12 maple core,Legs,MAPLE,28,420,434,14,40,142,"CONCEPT exterior, not cut list"
P019,Leg 21 foot,Legs,WALNUT,550,20,0,30,40,22,"CONCEPT exterior, not cut list"
P020,Leg 21 walnut cheek,Legs,WALNUT,550,20,22,8,40,554,"CONCEPT exterior, not cut list"
P021,Leg 21 walnut cheek,Legs,WALNUT,572,20,22,8,40,554,"CONCEPT exterior, not cut list"
P022,Leg 21 maple core,Legs,MAPLE,558,20,22,14,40,40,"CONCEPT exterior, not cut list"
P023,Leg 21 maple core,Legs,MAPLE,558,20,74,14,40,102,"CONCEPT exterior, not cut list"
P024,Leg 21 maple core,Legs,MAPLE,558,20,188,14,40,24,"CONCEPT exterior, not cut list"
P025,Leg 21 maple core,Legs,MAPLE,558,20,224,14,40,162,"CONCEPT exterior, not cut list"
P026,Leg 21 maple core,Legs,MAPLE,558,20,398,14,40,24,"CONCEPT exterior, not cut list"
P027,Leg 21 maple core,Legs,MAPLE,558,20,434,14,40,142,"CONCEPT exterior, not cut list"
P028,Leg 22 foot,Legs,WALNUT,550,420,0,30,40,22,"CONCEPT exterior, not cut list"
P029,Leg 22 walnut cheek,Legs,WALNUT,550,420,22,8,40,554,"CONCEPT exterior, not cut list"
P030,Leg 22 walnut cheek,Legs,WALNUT,572,420,22,8,40,554,"CONCEPT exterior, not cut list"
P031,Leg 22 maple core,Legs,MAPLE,558,420,22,14,40,40,"CONCEPT exterior, not cut list"
P032,Leg 22 maple core,Legs,MAPLE,558,420,74,14,40,102,"CONCEPT exterior, not cut list"
P033,Leg 22 maple core,Legs,MAPLE,558,420,188,14,40,24,"CONCEPT exterior, not cut list"
P034,Leg 22 maple core,Legs,MAPLE,558,420,224,14,40,162,"CONCEPT exterior, not cut list"
P035,Leg 22 maple core,Legs,MAPLE,558,420,398,14,40,24,"CONCEPT exterior, not cut list"
P036,Leg 22 maple core,Legs,MAPLE,558,420,434,14,40,142,"CONCEPT exterior, not cut list"
P037,Lower front/back rail,Lower,WALNUT,50,20,116,500,40,24,"CONCEPT exterior, not cut list"
P038,Lower front/back rail,Lower,WALNUT,50,420,116,500,40,24,"CONCEPT exterior, not cut list"
P039,Lower split side rail,Lower,WALNUT,20,60,116,30,168.0,24,"CONCEPT exterior, not cut list"
P040,Lower split side rail,Lower,WALNUT,20,252.0,116,30,168.0,24,"CONCEPT exterior, not cut list"
P041,Lower split side rail,Lower,WALNUT,550,60,116,30,168.0,24,"CONCEPT exterior, not cut list"
P042,Lower split side rail,Lower,WALNUT,550,252.0,116,30,168.0,24,"CONCEPT exterior, not cut list"
P043,Lower projecting crossbar,Lower,WALNUT,0,228.0,116,600,24,24,"CONCEPT exterior, not cut list"
P044,Lower plain maple panel,Lower,MAPLE,51,61,122,498,166.0,18,"CONCEPT exterior, not cut list"
P045,Lower plain maple panel,Lower,MAPLE,51,253.0,122,498,166.0,18,"CONCEPT exterior, not cut list"
P046,Middle front/back rail,Middle,WALNUT,50,20,326,500,40,24,"CONCEPT exterior, not cut list"
P047,Middle front/back rail,Middle,WALNUT,50,420,326,500,40,24,"CONCEPT exterior, not cut list"
P048,Middle split side rail,Middle,WALNUT,20,60,326,30,168.0,24,"CONCEPT exterior, not cut list"
P049,Middle split side rail,Middle,WALNUT,20,252.0,326,30,168.0,24,"CONCEPT exterior, not cut list"
P050,Middle split side rail,Middle,WALNUT,550,60,326,30,168.0,24,"CONCEPT exterior, not cut list"
P051,Middle split side rail,Middle,WALNUT,550,252.0,326,30,168.0,24,"CONCEPT exterior, not cut list"
P052,Middle projecting crossbar,Middle,WALNUT,0,228.0,326,600,24,24,"CONCEPT exterior, not cut list"
P053,Middle plain maple panel,Middle,MAPLE,51,61,332,498,166.0,18,"CONCEPT exterior, not cut list"
P054,Middle plain maple panel,Middle,MAPLE,51,253.0,332,498,166.0,18,"CONCEPT exterior, not cut list"
P055,Through side bar with exposed ends,Side lines,WALNUT,28,0,62,14,480,12,"CONCEPT exterior, not cut list"
P056,Through side bar with exposed ends,Side lines,WALNUT,28,0,176,14,480,12,"CONCEPT exterior, not cut list"
P057,Through side bar with exposed ends,Side lines,WALNUT,28,0,212,14,480,12,"CONCEPT exterior, not cut list"
