ID,Part,Material,Role,Global AABB mm — NOT blank size,Volume mm3,Grain
P01,Upper circular maple top with grip recess,MAPLE,upper_top,650.00 × 649.80 × 20.00,6493934.48,X; solid edge-glued maple
P02,Grip mitred strip north,WALNUT,grip_trim,123.00 × 14.00 × 20.00,30520.0,Along strip; solid walnut
P03,Grip mitred strip south,WALNUT,grip_trim,123.00 × 14.00 × 20.00,30520.0,Along strip; solid walnut
P04,Grip mitred strip east,WALNUT,grip_trim,14.00 × 58.00 × 20.00,12320.0,Along strip; solid walnut
P05,Grip mitred strip west,WALNUT,grip_trim,14.00 × 58.00 × 20.00,12320.0,Along strip; solid walnut
P06,Lower circular maple shelf — no opening,MAPLE,lower_top,450.00 × 449.86 × 20.00,3180862.56,X; solid edge-glued maple
P07,Arched blade 45,MAPLE,leg,98.99 × 98.99 × 512.00,1024000.96,Vertical Z
P08,Slot jamb 45 / -1,WALNUT,slot_trim,16.97 × 16.97 × 262.00,20620.71,Vertical Z
P09,Slot jamb 45 / 1,WALNUT,slot_trim,16.97 × 16.97 × 262.00,20620.71,Vertical Z
P10,Slot lintel 45,WALNUT,slot_trim,36.77 × 36.77 × 4.00,2560.0,Tangential
P11,Foot shoe 45,WALNUT,foot,101.82 × 101.82 × 18.00,51840.0,Tangential; shoe-to-leg joint unresolved
P12,Arched blade 135,MAPLE,leg,98.99 × 98.99 × 512.00,1024000.96,Vertical Z
P13,Slot jamb 135 / -1,WALNUT,slot_trim,16.97 × 16.97 × 262.00,20620.71,Vertical Z
P14,Slot jamb 135 / 1,WALNUT,slot_trim,16.97 × 16.97 × 262.00,20620.71,Vertical Z
P15,Slot lintel 135,WALNUT,slot_trim,36.77 × 36.77 × 4.00,2560.0,Tangential
P16,Foot shoe 135,WALNUT,foot,101.82 × 101.82 × 18.00,51840.0,Tangential; shoe-to-leg joint unresolved
P17,Arched blade 225,MAPLE,leg,98.99 × 98.99 × 512.00,1024000.96,Vertical Z
P18,Slot jamb 225 / -1,WALNUT,slot_trim,16.97 × 16.97 × 262.00,20620.71,Vertical Z
P19,Slot jamb 225 / 1,WALNUT,slot_trim,16.97 × 16.97 × 262.00,20620.71,Vertical Z
P20,Slot lintel 225,WALNUT,slot_trim,36.77 × 36.77 × 4.00,2560.0,Tangential
P21,Foot shoe 225,WALNUT,foot,101.82 × 101.82 × 18.00,51840.0,Tangential; shoe-to-leg joint unresolved
P22,Arched blade 315,MAPLE,leg,98.99 × 98.99 × 512.00,1024000.96,Vertical Z
P23,Slot jamb 315 / -1,WALNUT,slot_trim,16.97 × 16.97 × 262.00,20620.71,Vertical Z
P24,Slot jamb 315 / 1,WALNUT,slot_trim,16.97 × 16.97 × 262.00,20620.71,Vertical Z
P25,Slot lintel 315,WALNUT,slot_trim,36.77 × 36.77 × 4.00,2560.0,Tangential
P26,Foot shoe 315,WALNUT,foot,101.82 × 101.82 × 18.00,51840.0,Tangential; shoe-to-leg joint unresolved
P27,X level 1 beam 1,WALNUT,x_rail,377.60 × 377.60 × 14.00,126746.12,Along beam; half-lap centre; drilled ends
P28,X level 1 beam 2,WALNUT,x_rail,377.60 × 377.60 × 14.00,126746.12,Along beam; half-lap centre; drilled ends
P29,X level 2 beam 1,WALNUT,x_rail,377.60 × 377.60 × 14.00,126746.12,Along beam; half-lap centre; drilled ends
P30,X level 2 beam 2,WALNUT,x_rail,377.60 × 377.60 × 14.00,126746.12,Along beam; half-lap centre; drilled ends
P31,X level 3 beam 1,WALNUT,x_rail,377.60 × 377.60 × 14.00,126746.12,Along beam; half-lap centre; drilled ends
P32,X level 3 beam 2,WALNUT,x_rail,377.60 × 377.60 × 14.00,126746.12,Along beam; half-lap centre; drilled ends
P33,Cross pin 45 / level 1,WALNUT,cross_pin,89.09 × 89.09 × 6.00,3392.92,Along pin; strength / fit TO VERIFY
P34,Cross pin 45 / level 2,WALNUT,cross_pin,89.09 × 89.09 × 6.00,3392.92,Along pin; strength / fit TO VERIFY
P35,Cross pin 45 / level 3,WALNUT,cross_pin,89.09 × 89.09 × 6.00,3392.92,Along pin; strength / fit TO VERIFY
P36,Cross pin 135 / level 1,WALNUT,cross_pin,89.09 × 89.09 × 6.00,3392.92,Along pin; strength / fit TO VERIFY
P37,Cross pin 135 / level 2,WALNUT,cross_pin,89.09 × 89.09 × 6.00,3392.92,Along pin; strength / fit TO VERIFY
P38,Cross pin 135 / level 3,WALNUT,cross_pin,89.09 × 89.09 × 6.00,3392.92,Along pin; strength / fit TO VERIFY
P39,Cross pin 225 / level 1,WALNUT,cross_pin,89.09 × 89.09 × 6.00,3392.92,Along pin; strength / fit TO VERIFY
P40,Cross pin 225 / level 2,WALNUT,cross_pin,89.09 × 89.09 × 6.00,3392.92,Along pin; strength / fit TO VERIFY
P41,Cross pin 225 / level 3,WALNUT,cross_pin,89.09 × 89.09 × 6.00,3392.92,Along pin; strength / fit TO VERIFY
P42,Cross pin 315 / level 1,WALNUT,cross_pin,89.09 × 89.09 × 6.00,3392.92,Along pin; strength / fit TO VERIFY
P43,Cross pin 315 / level 2,WALNUT,cross_pin,89.09 × 89.09 × 6.00,3392.92,Along pin; strength / fit TO VERIFY
P44,Cross pin 315 / level 3,WALNUT,cross_pin,89.09 × 89.09 × 6.00,3392.92,Along pin; strength / fit TO VERIFY
