id,name,component,group,subgroup,material,x_mm,y_mm,z_mm
P001,POST_00_upper,POST_00_upper,立柱與雙色腳,上立柱,胡桃木,30.0,40.0,1105.0
P002,POST_00_shoe,POST_00_shoe,立柱與雙色腳,雙色腳 00,胡桃木,40.0,40.0,22
P003,POST_00_core,POST_00_core,立柱與雙色腳,雙色腳 00,楓木,16.0,16.0,278
P004,POST_00_corner_0_0,POST_00_corner_0_0,立柱與雙色腳,雙色腳 00,胡桃木,12.0,12.0,278
P005,POST_00_corner_0_28.0,POST_00_corner_0_28.0,立柱與雙色腳,雙色腳 00,胡桃木,12.0,12.0,278
P006,POST_00_corner_28.0_0,POST_00_corner_28.0_0,立柱與雙色腳,雙色腳 00,胡桃木,12.0,12.0,278
P007,POST_00_corner_28.0_28.0,POST_00_corner_28.0_28.0,立柱與雙色腳,雙色腳 00,胡桃木,12.0,12.0,278
P008,POST_00_maple_x0,POST_00_maple_x0,立柱與雙色腳,雙色腳 00,楓木,12.0,16.0,278
P009,POST_00_maple_x28.0,POST_00_maple_x28.0,立柱與雙色腳,雙色腳 00,楓木,12.0,16.0,278
P010,POST_00_maple_y0,POST_00_maple_y0,立柱與雙色腳,雙色腳 00,楓木,16.0,12.0,278
P011,POST_00_maple_y28.0,POST_00_maple_y28.0,立柱與雙色腳,雙色腳 00,楓木,16.0,12.0,278
P012,POST_01_upper,POST_01_upper,立柱與雙色腳,上立柱,胡桃木,30.0,40.0,1105.0
P013,POST_01_shoe,POST_01_shoe,立柱與雙色腳,雙色腳 01,胡桃木,40.0,40.0,22
P014,POST_01_core,POST_01_core,立柱與雙色腳,雙色腳 01,楓木,16.0,16.0,278
P015,POST_01_corner_0_0,POST_01_corner_0_0,立柱與雙色腳,雙色腳 01,胡桃木,12.0,12.0,278
P016,POST_01_corner_0_28.0,POST_01_corner_0_28.0,立柱與雙色腳,雙色腳 01,胡桃木,12.0,12.0,278
P017,POST_01_corner_28.0_0,POST_01_corner_28.0_0,立柱與雙色腳,雙色腳 01,胡桃木,12.0,12.0,278
P018,POST_01_corner_28.0_28.0,POST_01_corner_28.0_28.0,立柱與雙色腳,雙色腳 01,胡桃木,12.0,12.0,278
P019,POST_01_maple_x0,POST_01_maple_x0,立柱與雙色腳,雙色腳 01,楓木,12.0,16.0,278
P020,POST_01_maple_x28.0,POST_01_maple_x28.0,立柱與雙色腳,雙色腳 01,楓木,12.0,16.0,278
P021,POST_01_maple_y0,POST_01_maple_y0,立柱與雙色腳,雙色腳 01,楓木,16.0,12.0,278
P022,POST_01_maple_y28.0,POST_01_maple_y28.0,立柱與雙色腳,雙色腳 01,楓木,16.0,12.0,278
P023,POST_10_upper,POST_10_upper,立柱與雙色腳,上立柱,胡桃木,30.0,40.0,1105.0
P024,POST_10_shoe,POST_10_shoe,立柱與雙色腳,雙色腳 10,胡桃木,40.0,40.0,22
P025,POST_10_core,POST_10_core,立柱與雙色腳,雙色腳 10,楓木,16.0,16.0,278
P026,POST_10_corner_0_0,POST_10_corner_0_0,立柱與雙色腳,雙色腳 10,胡桃木,12.0,12.0,278
P027,POST_10_corner_0_28.0,POST_10_corner_0_28.0,立柱與雙色腳,雙色腳 10,胡桃木,12.0,12.0,278
P028,POST_10_corner_28.0_0,POST_10_corner_28.0_0,立柱與雙色腳,雙色腳 10,胡桃木,12.0,12.0,278
P029,POST_10_corner_28.0_28.0,POST_10_corner_28.0_28.0,立柱與雙色腳,雙色腳 10,胡桃木,12.0,12.0,278
P030,POST_10_maple_x0,POST_10_maple_x0,立柱與雙色腳,雙色腳 10,楓木,12.0,16.0,278
P031,POST_10_maple_x28.0,POST_10_maple_x28.0,立柱與雙色腳,雙色腳 10,楓木,12.0,16.0,278
P032,POST_10_maple_y0,POST_10_maple_y0,立柱與雙色腳,雙色腳 10,楓木,16.0,12.0,278
P033,POST_10_maple_y28.0,POST_10_maple_y28.0,立柱與雙色腳,雙色腳 10,楓木,16.0,12.0,278
P034,POST_11_upper,POST_11_upper,立柱與雙色腳,上立柱,胡桃木,30.0,40.0,1105.0
P035,POST_11_shoe,POST_11_shoe,立柱與雙色腳,雙色腳 11,胡桃木,40.0,40.0,22
P036,POST_11_core,POST_11_core,立柱與雙色腳,雙色腳 11,楓木,16.0,16.0,278
P037,POST_11_corner_0_0,POST_11_corner_0_0,立柱與雙色腳,雙色腳 11,胡桃木,12.0,12.0,278
P038,POST_11_corner_0_28.0,POST_11_corner_0_28.0,立柱與雙色腳,雙色腳 11,胡桃木,12.0,12.0,278
P039,POST_11_corner_28.0_0,POST_11_corner_28.0_0,立柱與雙色腳,雙色腳 11,胡桃木,12.0,12.0,278
P040,POST_11_corner_28.0_28.0,POST_11_corner_28.0_28.0,立柱與雙色腳,雙色腳 11,胡桃木,12.0,12.0,278
P041,POST_11_maple_x0,POST_11_maple_x0,立柱與雙色腳,雙色腳 11,楓木,12.0,16.0,278
P042,POST_11_maple_x28.0,POST_11_maple_x28.0,立柱與雙色腳,雙色腳 11,楓木,12.0,16.0,278
P043,POST_11_maple_y0,POST_11_maple_y0,立柱與雙色腳,雙色腳 11,楓木,16.0,12.0,278
P044,POST_11_maple_y28.0,POST_11_maple_y28.0,立柱與雙色腳,雙色腳 11,楓木,16.0,12.0,278
P045,RAIL_FB_300_0,RAIL_FB_300_0,底框與底板,底框與底板,胡桃木,625.0,25.0,25.0
P046,RAIL_FB_300_345.0,RAIL_FB_300_345.0,底框與底板,底框與底板,胡桃木,625.0,25.0,25.0
P047,RAIL_SIDE_300_0,RAIL_SIDE_300_0,底框與底板,底框與底板,胡桃木,25.0,290.0,25.0
P048,RAIL_SIDE_300_660.0,RAIL_SIDE_300_660.0,底框與底板,底框與底板,胡桃木,25.0,290.0,25.0
P049,RAIL_FB_1405.0_0,RAIL_FB_1405.0_0,頂部,頂部,胡桃木,685.0,25.0,25.0
P050,RAIL_FB_1405.0_345.0,RAIL_FB_1405.0_345.0,頂部,頂部,胡桃木,685.0,25.0,25.0
P051,RAIL_SIDE_1405.0_0,RAIL_SIDE_1405.0_0,頂部,頂部,胡桃木,25.0,320.0,25.0
P052,RAIL_SIDE_1405.0_660.0,RAIL_SIDE_1405.0_660.0,頂部,頂部,胡桃木,25.0,320.0,25.0
P053,Cabinet floor - continuous notched panel,Cabinet floor - continuous notched panel,底框與底板,底框與底板,楓木,635.0,320.0,20
P054,TOP_maple_25.0,TOP_maple_25.0,頂部,頂部,楓木,305.0,320.0,25.0
P055,TOP_maple_355.0,TOP_maple_355.0,頂部,頂部,楓木,305.0,320.0,25.0
P056,TOP_centre_walnut,TOP_centre_walnut,頂部,頂部,胡桃木,25.0,320.0,25.0
P057,SIDE_stretcher_5.0_170.0,SIDE_stretcher_5.0_170.0,腳間橫條,腳間橫條,胡桃木,25.0,240.0,22.0
P058,SIDE_stretcher_655.0_170.0,SIDE_stretcher_655.0_170.0,腳間橫條,腳間橫條,胡桃木,25.0,240.0,22.0
P059,SIDE_stretcher_5.0_230.0,SIDE_stretcher_5.0_230.0,腳間橫條,腳間橫條,胡桃木,25.0,240.0,22.0
P060,SIDE_stretcher_655.0_230.0,SIDE_stretcher_655.0_230.0,腳間橫條,腳間橫條,胡桃木,25.0,240.0,22.0
P061,ADDED_FRONT_stretcher,ADDED_FRONT_stretcher,腳間橫條,腳間橫條,胡桃木,595.0,25.0,22.0
P062,ADDED_REAR_stretcher,ADDED_REAR_stretcher,腳間橫條,腳間橫條,胡桃木,595.0,25.0,22.0
P063,SHELF_665.0,SHELF_665.0,層板,層板,楓木,625.0,290.0,20.0
