id,name,group,material,x_mm,y_mm,z_mm,width_mm,depth_mm,height_mm,status
P001,Leg 11 walnut foot,Legs,WALNUT,18,12,0,30,40,22,L1 exterior only; not cut list
P002,Leg 11 walnut cheek,Legs,WALNUT,18,12,22,8,40,554,L1 exterior only; not cut list
P003,Leg 11 walnut cheek,Legs,WALNUT,40,12,22,8,40,554,L1 exterior only; not cut list
P004,Leg 11 maple core,Legs,MAPLE,26,12,22,14,40,12,L1 exterior only; not cut list
P005,Leg 11 maple core,Legs,MAPLE,26,12,44,14,40,12,L1 exterior only; not cut list
P006,Leg 11 maple core,Legs,MAPLE,26,12,74,14,40,206,L1 exterior only; not cut list
P007,Leg 11 maple core,Legs,MAPLE,26,12,290,14,40,12,L1 exterior only; not cut list
P008,Leg 11 maple core,Legs,MAPLE,26,12,320,14,40,256,L1 exterior only; not cut list
P009,Leg 12 walnut foot,Legs,WALNUT,18,428,0,30,40,22,L1 exterior only; not cut list
P010,Leg 12 walnut cheek,Legs,WALNUT,18,428,22,8,40,554,L1 exterior only; not cut list
P011,Leg 12 walnut cheek,Legs,WALNUT,40,428,22,8,40,554,L1 exterior only; not cut list
P012,Leg 12 maple core,Legs,MAPLE,26,428,22,14,40,12,L1 exterior only; not cut list
P013,Leg 12 maple core,Legs,MAPLE,26,428,44,14,40,12,L1 exterior only; not cut list
P014,Leg 12 maple core,Legs,MAPLE,26,428,74,14,40,206,L1 exterior only; not cut list
P015,Leg 12 maple core,Legs,MAPLE,26,428,290,14,40,12,L1 exterior only; not cut list
P016,Leg 12 maple core,Legs,MAPLE,26,428,320,14,40,256,L1 exterior only; not cut list
P017,Leg 21 walnut foot,Legs,WALNUT,552,12,0,30,40,22,L1 exterior only; not cut list
P018,Leg 21 walnut cheek,Legs,WALNUT,552,12,22,8,40,554,L1 exterior only; not cut list
P019,Leg 21 walnut cheek,Legs,WALNUT,574,12,22,8,40,554,L1 exterior only; not cut list
P020,Leg 21 maple core,Legs,MAPLE,560,12,22,14,40,12,L1 exterior only; not cut list
P021,Leg 21 maple core,Legs,MAPLE,560,12,44,14,40,12,L1 exterior only; not cut list
P022,Leg 21 maple core,Legs,MAPLE,560,12,74,14,40,206,L1 exterior only; not cut list
P023,Leg 21 maple core,Legs,MAPLE,560,12,290,14,40,12,L1 exterior only; not cut list
P024,Leg 21 maple core,Legs,MAPLE,560,12,320,14,40,256,L1 exterior only; not cut list
P025,Leg 22 walnut foot,Legs,WALNUT,552,428,0,30,40,22,L1 exterior only; not cut list
P026,Leg 22 walnut cheek,Legs,WALNUT,552,428,22,8,40,554,L1 exterior only; not cut list
P027,Leg 22 walnut cheek,Legs,WALNUT,574,428,22,8,40,554,L1 exterior only; not cut list
P028,Leg 22 maple core,Legs,MAPLE,560,428,22,14,40,12,L1 exterior only; not cut list
P029,Leg 22 maple core,Legs,MAPLE,560,428,44,14,40,12,L1 exterior only; not cut list
P030,Leg 22 maple core,Legs,MAPLE,560,428,74,14,40,206,L1 exterior only; not cut list
P031,Leg 22 maple core,Legs,MAPLE,560,428,290,14,40,12,L1 exterior only; not cut list
P032,Leg 22 maple core,Legs,MAPLE,560,428,320,14,40,256,L1 exterior only; not cut list
P033,Lower through bracing line,Lower,WALNUT,26,2,34,14,476,10,L1 exterior only; not cut list
P034,Lower main side bearer lower half,Lower,WALNUT,26,2,56,14,476,9,L1 exterior only; not cut list
P035,Lower main side bearer upper half,Lower,WALNUT,26,2,65,14,74,9,L1 exterior only; not cut list
P036,Lower main side bearer upper half,Lower,WALNUT,26,104,65,14,272,9,L1 exterior only; not cut list
P037,Lower main side bearer upper half,Lower,WALNUT,26,404,65,14,74,9,L1 exterior only; not cut list
P038,Lower through bracing line,Lower,WALNUT,560,2,34,14,476,10,L1 exterior only; not cut list
P039,Lower main side bearer lower half,Lower,WALNUT,560,2,56,14,476,9,L1 exterior only; not cut list
P040,Lower main side bearer upper half,Lower,WALNUT,560,2,65,14,74,9,L1 exterior only; not cut list
P041,Lower main side bearer upper half,Lower,WALNUT,560,104,65,14,272,9,L1 exterior only; not cut list
P042,Lower main side bearer upper half,Lower,WALNUT,560,404,65,14,74,9,L1 exterior only; not cut list
P043,Lower transverse bearer lower half,Lower,WALNUT,40,76,56,520,28,9,L1 exterior only; not cut list
P044,Lower transverse bearer upper half,Lower,WALNUT,26,76,65,548,28,9,L1 exterior only; not cut list
P045,Lower transverse bearer lower half,Lower,WALNUT,40,376,56,520,28,9,L1 exterior only; not cut list
P046,Lower transverse bearer upper half,Lower,WALNUT,26,376,65,548,28,9,L1 exterior only; not cut list
P047,Middle through bracing line,Middle,WALNUT,26,2,280,14,476,10,L1 exterior only; not cut list
P048,Middle main side bearer lower half,Middle,WALNUT,26,2,302,14,476,9,L1 exterior only; not cut list
P049,Middle main side bearer upper half,Middle,WALNUT,26,2,311,14,74,9,L1 exterior only; not cut list
P050,Middle main side bearer upper half,Middle,WALNUT,26,104,311,14,272,9,L1 exterior only; not cut list
P051,Middle main side bearer upper half,Middle,WALNUT,26,404,311,14,74,9,L1 exterior only; not cut list
P052,Middle through bracing line,Middle,WALNUT,560,2,280,14,476,10,L1 exterior only; not cut list
P053,Middle main side bearer lower half,Middle,WALNUT,560,2,302,14,476,9,L1 exterior only; not cut list
P054,Middle main side bearer upper half,Middle,WALNUT,560,2,311,14,74,9,L1 exterior only; not cut list
P055,Middle main side bearer upper half,Middle,WALNUT,560,104,311,14,272,9,L1 exterior only; not cut list
P056,Middle main side bearer upper half,Middle,WALNUT,560,404,311,14,74,9,L1 exterior only; not cut list
P057,Middle transverse bearer lower half,Middle,WALNUT,40,76,302,520,28,9,L1 exterior only; not cut list
P058,Middle transverse bearer upper half,Middle,WALNUT,26,76,311,548,28,9,L1 exterior only; not cut list
P059,Middle transverse bearer lower half,Middle,WALNUT,40,376,302,520,28,9,L1 exterior only; not cut list
P060,Middle transverse bearer upper half,Middle,WALNUT,26,376,311,548,28,9,L1 exterior only; not cut list
P061,Top front/back apron,Top,WALNUT,48,23,552,504,18,24,L1 exterior only; not cut list
P062,Top front/back apron,Top,WALNUT,48,439,552,504,18,24,L1 exterior only; not cut list
P063,Top side apron,Top,WALNUT,24,52,552,18,376,24,L1 exterior only; not cut list
P064,Top side apron,Top,WALNUT,558,52,552,18,376,24,L1 exterior only; not cut list
P065,Lower mitred perimeter strip 1,Lower,WALNUT,62,52,74,476,22,8,L1 exterior only; not cut list
